medalist_name,medal,country_medal,date_of_birth,place_of_birth,place_of_birth_located_in,event_name
Paula Ramírez,bronze,Spain,1996-04-23,Barcelona,Barcelonès,Artistic swimming at the 2024 Summer Olympics – Team event
Iris Tió,bronze,Spain,2002-11-02,Barcelona,Barcelonès,Artistic swimming at the 2024 Summer Olympics – Team event
Blanca Toledano,bronze,Spain,2000-11-03,Madrid,Community of Madrid,Artistic swimming at the 2024 Summer Olympics – Team event
Noah Lyles,gold,United States of America,1997-07-18,Gainesville,Alachua County,athletics at the 2024 Summer Olympics – men's 100 metres
Kishane Thompson,silver,Jamaica,2001-07-17,Kingston,Surrey County,athletics at the 2024 Summer Olympics – men's 100 metres
Fred Kerley,bronze,United States of America,1995-05-07,Taylor,Williamson County,athletics at the 2024 Summer Olympics – men's 100 metres
Letsile Tebogo,gold,Botswana,2003-06-07,Kanye,Southern District,athletics at the 2024 Summer Olympics – men's 200 metres
Kenny Bednarek,silver,United States of America,1998-10-14,Rice Lake,Barron County,athletics at the 2024 Summer Olympics – men's 200 metres
Noah Lyles,bronze,United States of America,1997-07-18,Gainesville,Alachua County,athletics at the 2024 Summer Olympics – men's 200 metres
Quincy Hall,gold,United States of America,1998-07-31,Kansas City,Jackson County,athletics at the 2024 Summer Olympics – men's 400 metres
Matthew Hudson-Smith,silver,United Kingdom,1994-10-26,Wolverhampton,City of Wolverhampton,athletics at the 2024 Summer Olympics – men's 400 metres
Muzala Samukonga,bronze,Zambia,2002-12-09,Lusaka,Lusaka Province,athletics at the 2024 Summer Olympics – men's 400 metres
Emmanuel Wanyonyi,gold,Kenya,2004-08-01,Kenya,NA,athletics at the 2024 Summer Olympics – men's 800 metres
Marco Arop,silver,Canada,1998-09-20,Khartoum,Khartoum,athletics at the 2024 Summer Olympics – men's 800 metres
Djamel Sedjati,bronze,Algeria,1999-05-03,Tiaret,Tiaret District,athletics at the 2024 Summer Olympics – men's 800 metres
Cole Hocker,gold,United States of America,2001-06-06,Indianapolis,Marion County,athletics at the 2024 Summer Olympics – men's 1500 metres
Josh Kerr,silver,United Kingdom,1997-10-08,Edinburgh,City of Edinburgh,athletics at the 2024 Summer Olympics – men's 1500 metres
Yared Nuguse,bronze,United States of America,1999-06-01,Louisville,Jefferson County,athletics at the 2024 Summer Olympics – men's 1500 metres
Jakob Ingebrigtsen,gold,Norway,2000-09-19,Sandnes Municipality,Rogaland,athletics at the 2024 Summer Olympics – men's 5000 metres
Ronald Kwemoi,silver,Kenya,1995-09-19,Nyeri,Central Province,athletics at the 2024 Summer Olympics – men's 5000 metres
Grant Fisher,bronze,United States of America,1997-04-22,Calgary,Alberta,athletics at the 2024 Summer Olympics – men's 5000 metres
Joshua Cheptegei,gold,Uganda,1996-09-12,Kapchorwa District,Eastern Region,"athletics at the 2024 Summer Olympics – men's 10,000 metres"
Berihu Aregawi,silver,Ethiopia,2001-02-28,Ethiopia,NA,"athletics at the 2024 Summer Olympics – men's 10,000 metres"
Grant Fisher,bronze,United States of America,1997-04-22,Calgary,Alberta,"athletics at the 2024 Summer Olympics – men's 10,000 metres"
Grant Holloway,gold,United States of America,1997-11-19,Chesapeake,Virginia,athletics at the 2024 Summer Olympics – men's 110 metres hurdles
Daniel Roberts,silver,United States of America,1997-11-13,Hampton,Henry County,athletics at the 2024 Summer Olympics – men's 110 metres hurdles
Rasheed Broadbell,bronze,Jamaica,2000-08-13,Kingston,Surrey County,athletics at the 2024 Summer Olympics – men's 110 metres hurdles
Rai Benjamin,gold,United States of America,1997-07-27,Mount Vernon,Westchester County,athletics at the 2024 Summer Olympics – men's 400 metres hurdles
Karsten Warholm,silver,Norway,1996-02-28,Ulsteinvik,Ulstein Municipality,athletics at the 2024 Summer Olympics – men's 400 metres hurdles
Alison dos Santos,bronze,Brazil,2000-06-03,São Joaquim da Barra,São Paulo,athletics at the 2024 Summer Olympics – men's 400 metres hurdles
Soufiane El Bakkali,gold,Morocco,1996-01-07,Fez,Fez Prefecture,athletics at the 2024 Summer Olympics – men's 3000 metres steeplechase
Kenneth Rooks,silver,United States of America,1999-10-21,Portland,Multnomah County,athletics at the 2024 Summer Olympics – men's 3000 metres steeplechase
Abraham Kibiwot,bronze,Kenya,1996-06-04,Uasin Gishu County,Kenya,athletics at the 2024 Summer Olympics – men's 3000 metres steeplechase
Aaron Brown,gold,Canada,1992-05-27,Toronto,Ontario,athletics at the 2024 Summer Olympics – men's 4 × 100 metres relay
Jerome Blake,gold,Canada,1995-08-18,Buff Bay,Portland Parish,athletics at the 2024 Summer Olympics – men's 4 × 100 metres relay
Brendon Rodney,gold,Canada,1992-04-09,Etobicoke,Toronto,athletics at the 2024 Summer Olympics – men's 4 × 100 metres relay
Andre De Grasse,gold,Canada,1994-11-10,Scarborough,Toronto,athletics at the 2024 Summer Olympics – men's 4 × 100 metres relay
Bayanda Walaza,silver,South Africa,2006-02-09,NA,NA,athletics at the 2024 Summer Olympics – men's 4 × 100 metres relay
Shaun Maswanganyi,silver,South Africa,2001-02-01,Soweto,City of Johannesburg Metropolitan Municipality,athletics at the 2024 Summer Olympics – men's 4 × 100 metres relay
Bradley Nkoana,silver,South Africa,2005-01-29,NA,NA,athletics at the 2024 Summer Olympics – men's 4 × 100 metres relay
Akani Simbine,silver,South Africa,1993-09-21,Kempton Park,City of Ekurhuleni Metropolitan Municipality,athletics at the 2024 Summer Olympics – men's 4 × 100 metres relay
Jeremiah Azu,bronze,United Kingdom,2001-05-15,Rumney,Cardiff,athletics at the 2024 Summer Olympics – men's 4 × 100 metres relay
Louie Hinchliffe,bronze,United Kingdom,2002-07-18,Sheffield,Sheffield,athletics at the 2024 Summer Olympics – men's 4 × 100 metres relay
Nethaneel Mitchell-Blake,bronze,United Kingdom,1994-04-02,London Borough of Newham,Greater London,athletics at the 2024 Summer Olympics – men's 4 × 100 metres relay
Zharnel Hughes,bronze,United Kingdom,1995-07-13,Sandy Ground,Anguilla,athletics at the 2024 Summer Olympics – men's 4 × 100 metres relay
Richard Kilty,bronze,United Kingdom,1989-09-02,Stockton-on-Tees,Stockton-on-Tees,athletics at the 2024 Summer Olympics – men's 4 × 100 metres relay
Christopher Bailey,gold,United States of America,2000-05-29,Atlanta,Fulton County,athletics at the 2024 Summer Olympics – men's 4 × 400 metres relay
Vernon Norwood,gold,United States of America,1992-04-10,New Orleans,Orleans Parish,athletics at the 2024 Summer Olympics – men's 4 × 400 metres relay
Bryce Deadmon,gold,United States of America,1997-03-26,Missouri City,Fort Bend County,athletics at the 2024 Summer Olympics – men's 4 × 400 metres relay
Rai Benjamin,gold,United States of America,1997-07-27,Mount Vernon,Westchester County,athletics at the 2024 Summer Olympics – men's 4 × 400 metres relay
Quincy Wilson,gold,United States of America,2008-01-08,Potomac,Montgomery County,athletics at the 2024 Summer Olympics – men's 4 × 400 metres relay
Bayapo Ndori,silver,Botswana,1999-06-20,Tutume,Central District,athletics at the 2024 Summer Olympics – men's 4 × 400 metres relay
Busang Kebinatshipi,silver,Botswana,2004-02-13,Hukuntsi,Kgalagadi District,athletics at the 2024 Summer Olympics – men's 4 × 400 metres relay
Anthony Pesela,silver,Botswana,2002-01-01,Botswana,NA,athletics at the 2024 Summer Olympics – men's 4 × 400 metres relay
Letsile Tebogo,silver,Botswana,2003-06-07,Kanye,Southern District,athletics at the 2024 Summer Olympics – men's 4 × 400 metres relay
Alex Haydock-Wilson,bronze,United Kingdom,1999-07-28,Eton,Windsor and Maidenhead,athletics at the 2024 Summer Olympics – men's 4 × 400 metres relay
Matthew Hudson-Smith,bronze,United Kingdom,1994-10-26,Wolverhampton,City of Wolverhampton,athletics at the 2024 Summer Olympics – men's 4 × 400 metres relay
Lewis Davey,bronze,United Kingdom,2000-10-24,Grantham,South Kesteven,athletics at the 2024 Summer Olympics – men's 4 × 400 metres relay
Charlie Dobson,bronze,United Kingdom,1999-01-01,Colchester,Colchester,athletics at the 2024 Summer Olympics – men's 4 × 400 metres relay
Samuel Reardon,bronze,United Kingdom,2003-10-30,Sheffield,Sheffield,athletics at the 2024 Summer Olympics – men's 4 × 400 metres relay
Toby Harries,bronze,United Kingdom,1998-09-30,Brighton,Brighton and Hove,athletics at the 2024 Summer Olympics – men's 4 × 400 metres relay
Tamirat Tola,gold,Ethiopia,1991-08-11,Sebeta,Oromia Special Zone Surrounding Finfinne,athletics at the 2024 Summer Olympics – men's marathon
Bashir Abdi,silver,Belgium,1989-02-10,Mogadishu,Banaadir,athletics at the 2024 Summer Olympics – men's marathon
Benson Kipruto,bronze,Kenya,1991-03-17,NA,NA,athletics at the 2024 Summer Olympics – men's marathon
Brian Pintado,gold,Ecuador,1995-07-29,Cuenca,Azuay Province,athletics at the 2024 Summer Olympics – men's 20 kilometres walk
Caio Bonfim,silver,Brazil,1991-03-19,Sobradinho,Federal District,athletics at the 2024 Summer Olympics – men's 20 kilometres walk
Álvaro Martín,bronze,Spain,1994-06-18,Llerena,Province of Badajoz,athletics at the 2024 Summer Olympics – men's 20 kilometres walk
Hamish Kerr,gold,New Zealand,1996-08-17,Dunedin,Dunedin City,athletics at the 2024 Summer Olympics – men's high jump
Shelby McEwen,silver,United States of America,1996-04-06,Abbeville,Lafayette County,athletics at the 2024 Summer Olympics – men's high jump
Mutaz Essa Barshim,bronze,Qatar,1991-06-24,Doha,Ad-Dawhah (municipality),athletics at the 2024 Summer Olympics – men's high jump
Armand Duplantis,gold,Sweden,1999-11-10,Lafayette,Lafayette Parish,athletics at the 2024 Summer Olympics – men's pole vault
Sam Kendricks,silver,United States of America,1992-09-07,Oceanside,San Diego County,athletics at the 2024 Summer Olympics – men's pole vault
Emmanouíl Karalís,bronze,Greece,1999-10-20,Chania,Chania Municipality,athletics at the 2024 Summer Olympics – men's pole vault
Miltiadis Tentoglou,gold,Greece,1998-03-18,Thessaloniki,Thessaloniki Municipality,athletics at the 2024 Summer Olympics – men's long jump
Wayne Pinnock,silver,Jamaica,2000-10-24,Kingston,Surrey County,athletics at the 2024 Summer Olympics – men's long jump
Mattia Furlani,bronze,Italy,2005-02-07,Marino,Metropolitan City of Rome,athletics at the 2024 Summer Olympics – men's long jump
Jordan Díaz,gold,Spain,2001-02-23,Havana,Havana Province,athletics at the 2024 Summer Olympics – men's triple jump
Pedro Pichardo,silver,Portugal,1993-06-30,Santiago de Cuba,Santiago de Cuba Province,athletics at the 2024 Summer Olympics – men's triple jump
Andy Díaz,bronze,Italy,1995-12-25,Havana,Havana Province,athletics at the 2024 Summer Olympics – men's triple jump
Ryan Crouser,gold,United States of America,1992-12-18,Portland,Multnomah County,athletics at the 2024 Summer Olympics – men's shot put
Joe Kovacs,silver,United States of America,1989-06-28,Bethlehem,Pennsylvania,athletics at the 2024 Summer Olympics – men's shot put
Rajindra Campbell,bronze,Jamaica,1996-02-26,Ocho Rios,Saint Ann Parish,athletics at the 2024 Summer Olympics – men's shot put
Rojé Stona,gold,Jamaica,1999-02-26,Montego Bay,Saint James Parish,athletics at the 2024 Summer Olympics – men's discus throw
Mykolas Alekna,silver,Lithuania,2002-09-28,Vilnius,Vilnius City Municipality,athletics at the 2024 Summer Olympics – men's discus throw
Matthew Denny,bronze,Australia,1996-06-02,Toowoomba,Toowoomba Region,athletics at the 2024 Summer Olympics – men's discus throw
Ethan Katzberg,gold,Canada,2002-04-05,Nanaimo,Regional District of Nanaimo,athletics at the 2024 Summer Olympics – men's hammer throw
Bence Halász,silver,Hungary,1997-08-04,Kiskunhalas,Kiskunhalas District,athletics at the 2024 Summer Olympics – men's hammer throw
Mykhaylo Kokhan,bronze,Ukraine,2001-01-22,Zaporizhzhia,Yekaterinoslav Governorate,athletics at the 2024 Summer Olympics – men's hammer throw
Arshad Nadeem,gold,Pakistan,1997-01-02,Khanewal,Khanewal District,athletics at the 2024 Summer Olympics – men's javelin throw
Neeraj Chopra,silver,India,1997-12-24,Panipat district,Karnal division,athletics at the 2024 Summer Olympics – men's javelin throw
Anderson Peters,bronze,Grenada,1997-10-21,Saint Andrew Parish,Grenada,athletics at the 2024 Summer Olympics – men's javelin throw
Markus Rooth,gold,Norway,2001-12-22,Oslo,Oslo Municipality,athletics at the 2024 Summer Olympics – men's decathlon
Leo Neugebauer,silver,Germany,2000-06-19,Görlitz,Görlitz,athletics at the 2024 Summer Olympics – men's decathlon
Lindon Victor,bronze,Grenada,1993-02-28,St. George's,Saint George Parish,athletics at the 2024 Summer Olympics – men's decathlon
Julien Alfred,gold,Saint Lucia,2001-06-10,Castries,Castries Quarter,athletics at the 2024 Summer Olympics – women's 100 metres
Sha'Carri Richardson,silver,United States of America,2000-03-25,Dallas,Dallas County,athletics at the 2024 Summer Olympics – women's 100 metres
Melissa Jefferson,bronze,United States of America,2001-02-21,Georgetown,Georgetown County,athletics at the 2024 Summer Olympics – women's 100 metres
Gabrielle Thomas,gold,United States of America,1996-12-07,Atlanta,Fulton County,athletics at the 2024 Summer Olympics – women's 200 metres
Julien Alfred,silver,Saint Lucia,2001-06-10,Castries,Castries Quarter,athletics at the 2024 Summer Olympics – women's 200 metres
Brittany Brown,bronze,United States of America,1995-04-18,Fontana,San Bernardino County,athletics at the 2024 Summer Olympics – women's 200 metres
Marileidy Paulino,gold,Dominican Republic,1996-10-25,Nizao,Peravia Province,athletics at the 2024 Summer Olympics – women's 400 metres
Salwa Eid Naser,silver,Bahrain,1998-05-23,Onitsha,Anambra State,athletics at the 2024 Summer Olympics – women's 400 metres
Natalia Kaczmarek,bronze,Poland,1998-01-17,Drezdenko,Gmina Drezdenko,athletics at the 2024 Summer Olympics – women's 400 metres
Keely Hodgkinson,gold,United Kingdom,2002-03-03,Atherton,Wigan,athletics at the 2024 Summer Olympics – women's 800 metres
Tsige Duguma,silver,Ethiopia,2001-02-23,Ethiopia,NA,athletics at the 2024 Summer Olympics – women's 800 metres
Mary Moraa,bronze,Kenya,2000-06-15,Kenya,NA,athletics at the 2024 Summer Olympics – women's 800 metres
Faith Kipyegon,gold,Kenya,1994-01-10,Bomet,Bomet County,athletics at the 2024 Summer Olympics – women's 1500 metres
Jessica Hull,silver,Australia,1996-10-22,Albion Park,New South Wales,athletics at the 2024 Summer Olympics – women's 1500 metres
Georgia Bell,bronze,United Kingdom,1993-10-17,Paris,Grand Paris,athletics at the 2024 Summer Olympics – women's 1500 metres
Beatrice Chebet,gold,Kenya,2000-03-05,Kenya,NA,athletics at the 2024 Summer Olympics – women's 5000 metres
Faith Kipyegon,silver,Kenya,1994-01-10,Bomet,Bomet County,athletics at the 2024 Summer Olympics – women's 5000 metres
Sifan Hassan,bronze,Netherlands,1993-01-01,Adama,Oromia Region,athletics at the 2024 Summer Olympics – women's 5000 metres
Beatrice Chebet,gold,Kenya,2000-03-05,Kenya,NA,"athletics at the 2024 Summer Olympics – women's 10,000 metres"
Nadia Battocletti,silver,Italy,2000-04-12,Cles,Trentino,"athletics at the 2024 Summer Olympics – women's 10,000 metres"
Sifan Hassan,bronze,Netherlands,1993-01-01,Adama,Oromia Region,"athletics at the 2024 Summer Olympics – women's 10,000 metres"
Masai Russell,gold,United States of America,2000-06-17,"Washington, D.C.",District of Columbia,athletics at the 2024 Summer Olympics – women's 100 metres hurdles
Cyréna Samba-Mayela,silver,France,2000-10-31,Champigny-sur-Marne,Val-de-Marne,athletics at the 2024 Summer Olympics – women's 100 metres hurdles
Jasmine Camacho-Quinn,bronze,Puerto Rico,1996-08-21,Charleston,Charleston County,athletics at the 2024 Summer Olympics – women's 100 metres hurdles
Sydney McLaughlin-Levrone,gold,United States of America,1999-08-07,New Brunswick,Middlesex County,athletics at the 2024 Summer Olympics – women's 400 metres hurdles
Anna Cockrell,silver,United States of America,1997-08-28,San Ramon,Contra Costa County,athletics at the 2024 Summer Olympics – women's 400 metres hurdles
Femke Bol,bronze,Netherlands,2000-02-23,Amersfoort,Utrecht,athletics at the 2024 Summer Olympics – women's 400 metres hurdles
Winfred Yavi,gold,Bahrain,1999-12-31,Kenya,NA,athletics at the 2024 Summer Olympics – women's 3000 metres steeplechase
Peruth Chemutai,silver,Uganda,1999-07-10,Kapchorwa District,Eastern Region,athletics at the 2024 Summer Olympics – women's 3000 metres steeplechase
Faith Cherotich,bronze,Kenya,2004-07-13,Kenya,NA,athletics at the 2024 Summer Olympics – women's 3000 metres steeplechase
Melissa Jefferson,gold,United States of America,2001-02-21,Georgetown,Georgetown County,athletics at the 2024 Summer Olympics – women's 4 × 100 metres relay
Twanisha Terry,gold,United States of America,1999-01-24,Miami,Miami-Dade County,athletics at the 2024 Summer Olympics – women's 4 × 100 metres relay
Gabrielle Thomas,gold,United States of America,1996-12-07,Atlanta,Fulton County,athletics at the 2024 Summer Olympics – women's 4 × 100 metres relay
Sha'Carri Richardson,gold,United States of America,2000-03-25,Dallas,Dallas County,athletics at the 2024 Summer Olympics – women's 4 × 100 metres relay
Dina Asher-Smith,silver,United Kingdom,1995-12-04,Orpington,London Borough of Bromley,athletics at the 2024 Summer Olympics – women's 4 × 100 metres relay
Imani-Lara Lansiquot,silver,United Kingdom,1997-12-17,Peckham,London Borough of Southwark,athletics at the 2024 Summer Olympics – women's 4 × 100 metres relay
Amy Hunt,silver,United Kingdom,2002-05-15,Nottingham,City of Nottingham,athletics at the 2024 Summer Olympics – women's 4 × 100 metres relay
Daryll Neita,silver,United Kingdom,1996-08-29,London,Greater London,athletics at the 2024 Summer Olympics – women's 4 × 100 metres relay
Bianca Williams,silver,United Kingdom,1993-12-18,London,Greater London,athletics at the 2024 Summer Olympics – women's 4 × 100 metres relay
Desirèe Henry,silver,United Kingdom,1995-08-26,London,Greater London,athletics at the 2024 Summer Olympics – women's 4 × 100 metres relay
Alexandra Burghardt,bronze,Germany,1994-04-28,Mühldorf am Inn,Mühldorf,athletics at the 2024 Summer Olympics – women's 4 × 100 metres relay
Lisa Mayer,bronze,Germany,1996-05-02,Giessen,Gießen,athletics at the 2024 Summer Olympics – women's 4 × 100 metres relay
Gina Lückenkemper,bronze,Germany,1996-11-21,Soest,Soest,athletics at the 2024 Summer Olympics – women's 4 × 100 metres relay
Rebekka Haase,bronze,Germany,1993-01-02,Zschopau,Erzgebirgskreis,athletics at the 2024 Summer Olympics – women's 4 × 100 metres relay
Sophia Junk,bronze,Germany,1999-03-01,Konz,Trier-Saarburg,athletics at the 2024 Summer Olympics – women's 4 × 100 metres relay
Shamier Little,gold,United States of America,1995-03-20,Louisville,Jefferson County,athletics at the 2024 Summer Olympics – women's 4 × 400 metres relay
Sydney McLaughlin-Levrone,gold,United States of America,1999-08-07,New Brunswick,Middlesex County,athletics at the 2024 Summer Olympics – women's 4 × 400 metres relay
Gabrielle Thomas,gold,United States of America,1996-12-07,Atlanta,Fulton County,athletics at the 2024 Summer Olympics – women's 4 × 400 metres relay
Alexis Holmes,gold,United States of America,2000-01-28,Hamden,South Central Connecticut Planning Region,athletics at the 2024 Summer Olympics – women's 4 × 400 metres relay
Quanera Hayes,gold,United States of America,1992-03-07,South Carolina,United States of America,athletics at the 2024 Summer Olympics – women's 4 × 400 metres relay
Aaliyah Butler,gold,United States of America,2003-11-05,Fort Lauderdale,Broward County,athletics at the 2024 Summer Olympics – women's 4 × 400 metres relay
Kaylyn Brown,gold,United States of America,2004-12-31,Charlotte,Mecklenburg County,athletics at the 2024 Summer Olympics – women's 4 × 400 metres relay
Lieke Klaver,silver,Netherlands,1998-08-20,Velsen,North Holland,athletics at the 2024 Summer Olympics – women's 4 × 400 metres relay
Cathelijn Peeters,silver,Netherlands,1996-11-06,Dongen,North Brabant,athletics at the 2024 Summer Olympics – women's 4 × 400 metres relay
Lisanne de Witte,silver,Netherlands,1992-09-10,Vlaardingen,South Holland,athletics at the 2024 Summer Olympics – women's 4 × 400 metres relay
Femke Bol,silver,Netherlands,2000-02-23,Amersfoort,Utrecht,athletics at the 2024 Summer Olympics – women's 4 × 400 metres relay
Eveline Saalberg,silver,Netherlands,1998-07-30,Arnhem,Gelderland,athletics at the 2024 Summer Olympics – women's 4 × 400 metres relay
Myrte van der Schoot,silver,Netherlands,2004-04-16,Hilversum,North Holland,athletics at the 2024 Summer Olympics – women's 4 × 400 metres relay
Victoria Ohuruogu,bronze,United Kingdom,1993-02-28,London,Greater London,athletics at the 2024 Summer Olympics – women's 4 × 400 metres relay
Laviai Nielsen,bronze,United Kingdom,1996-03-13,London,Greater London,athletics at the 2024 Summer Olympics – women's 4 × 400 metres relay
Nicole Yeargin,bronze,United Kingdom,1997-08-11,Bowie,Prince George's County,athletics at the 2024 Summer Olympics – women's 4 × 400 metres relay
Amber Anning,bronze,United Kingdom,2000-11-18,London,Greater London,athletics at the 2024 Summer Olympics – women's 4 × 400 metres relay
Yemi Mary John,bronze,United Kingdom,2003-05-03,London,Greater London,athletics at the 2024 Summer Olympics – women's 4 × 400 metres relay
Hannah Kelly,bronze,United Kingdom,2000-12-20,Bury,Bury,athletics at the 2024 Summer Olympics – women's 4 × 400 metres relay
Jodie Williams,bronze,United Kingdom,1993-09-28,Welwyn Garden City,Welwyn Hatfield,athletics at the 2024 Summer Olympics – women's 4 × 400 metres relay
Lina Nielsen,bronze,United Kingdom,1996-03-13,London,Greater London,athletics at the 2024 Summer Olympics – women's 4 × 400 metres relay
Sifan Hassan,gold,Netherlands,1993-01-01,Adama,Oromia Region,athletics at the 2024 Summer Olympics – women's marathon
